word,count
image,115
learning,89
network,86
detection,62
video,48
deep,45
neural,30
segmentation,29
adversarial,28
recognition,28
data,25
model,25
neural network,25
classification,24
vehicle,23
compression,22
object,22
super-resolution,22
3d,21
estimation,21
face,21
challenge,20
semantic,20
attention,16
object detection,16
shape,16
dataset,15
deep learning,15
re-identification,15
visual,15
feature,14
reconstruction,14
unsupervised,14
robust,13
semantic segmentation,13
convolutional,12
dehazing,12
framework,12
generative,12
knowledge,12
loss,12
training,12
vehicle re-identification,12
adversarial network,11
facial,11
graph,11
image compression,11
real-world,11
representation,11
skin,11
tracking,11
denoising,10
domain,10
efficient,10
fusion,10
generative adversarial,10
image super-resolution,10
prediction,10
retrieval,10
scene,10
transfer,10
attack,9
camera,9
continual,9
document,9
dynamic,9
fast,9
generative adversarial network,9
learned,9
residual,9
rgb,9
text,9
action,8
continual learning,8
depth,8
image classification,8
metric,8
multimodal,8
ntire,8
ntire challenge,8
pose,8
quality,8
real-time,8
semi-supervised,8
spectral,8
system,8
zero-shot,8
adaptation,7
algorithm,7
anomaly,7
anomaly detection,7
augmentation,7
deep neural,7
dense,7
detecting,7
face recognition,7
hierarchical,7
human,7
image denoising,7
improve,7
multi-camera,7
rate,7
remote,7
result,7
trajectory,7
vision,7
adaptive,6
attention network,6
bias,6
cnns,6
coding,6
convolutional neural,6
convolutional neural network,6
deep neural network,6
fine-grained,6
flow,6
generation,6
guided,6
incremental,6
knowledge transfer,6
label,6
method result,6
motion,6
multiple,6
noise,6
point,6
robustness,6
search,6
self-supervised,6
spectral reconstruction,6
thermal,6
video compression,6
