word,count
image,105
learning,77
network,72
detection,59
video,45
recognition,35
object,34
super-resolution,29
efficient,28
estimation,28
transformer,27
attention,26
dataset,26
neural,25
data,24
segmentation,24
action,23
model,23
feature,22
3d,20
challenge,20
classification,20
retrieval,20
visual,20
deep,19
domain,19
representation,18
tracking,18
adversarial,16
facial,16
self-supervised,16
object detection,15
quality,15
adaptation,14
compression,14
human,14
driving,13
framework,13
multimodal,13
neural network,13
prediction,13
remote,13
system,13
training,13
continual,12
face,12
fusion,12
generation,12
motion,12
pose,12
robust,12
semi-supervised,12
unsupervised,12
vehicle,12
assessment,11
contrastive,11
image quality,11
localization,11
ntire,11
semantic,11
domain adaptation,10
dynamic,10
image super-resolution,10
learned,10
loss,10
multiple,10
quality assessment,10
architecture,9
attention network,9
augmentation,9
benchmark,9
depth,9
distillation,9
few-shot,9
imagery,9
multi-camera,9
natural,9
reconstruction,9
semantic segmentation,9
synthetic,9
vision,9
action recognition,8
datasets,8
expression,8
generative,8
hybrid,8
imaging,8
label,8
restoration,8
robustness,8
scene,8
temporal,8
autonomous,7
camera,7
convolution,7
cross-modal,7
detector,7
dynamic range,7
edge,7
emotion,7
federated,7
forecasting,7
high dynamic,7
image compression,7
lightweight,7
ntire challenge,7
representation learning,7
residual,7
result,7
spectral,7
activity,6
aerial,6
application,6
continual learning,6
detecting,6
device,6
facial expression,6
filter,6
inpainting,6
learned image,6
multi-view,6
person,6
range imaging,6
resolution,6
road,6
satellite,6
shape,6
supervised,6
thermal,6
